date (mm/dd/yyyy),flow (m3/s),data source
1/1/2006,5436.8256,gage
1/2/2006,5238.608,gage
1/3/2006,5210.2912,gage
1/4/2006,5266.9248,gage
1/5/2006,5380.192,gage
1/6/2006,5550.0928,gage
1/7/2006,5719.9936,gage
1/8/2006,5946.528,gage
1/9/2006,6059.7952,gage
1/10/2006,6314.6464,gage
1/11/2006,6597.8144,gage
1/12/2006,7050.8832,gage
1/13/2006,7249.1008,gage
1/14/2006,7617.2192,gage
1/15/2006,7928.704,gage
1/16/2006,8211.872,gage
1/17/2006,8381.7728,gage
1/18/2006,8608.3072,gage
1/19/2006,8778.208,gage
1/20/2006,8863.1584,gage
1/21/2006,8891.4752,gage
1/22/2006,8976.4256,gage
1/23/2006,9061.376,gage
1/24/2006,9287.9104,gage
1/25/2006,9797.6128,gage
1/26/2006,10618.8,gage
1/27/2006,11609.888,gage
1/28/2006,12402.7584,gage
1/29/2006,13422.1632,gage
1/30/2006,14668.1024,gage
1/31/2006,16140.576,gage
2/1/2006,16452.0608,gage
2/2/2006,16990.08,gage
2/3/2006,17754.6336,gage
2/4/2006,18292.6528,gage
2/5/2006,18377.6032,gage
2/6/2006,18179.3856,gage
2/7/2006,16650.2784,gage
2/8/2006,16140.576,gage
2/9/2006,15517.6064,gage
2/10/2006,14838.0032,gage
2/11/2006,14441.568,gage
2/12/2006,14328.3008,gage
2/13/2006,13875.232,gage
2/14/2006,13705.3312,gage
2/15/2006,13648.6976,gage
2/16/2006,13393.8464,gage
2/17/2006,13138.9952,gage
2/18/2006,12799.1936,gage
2/19/2006,12402.7584,gage
2/20/2006,11949.6896,gage
2/21/2006,11326.72,gage
2/22/2006,10760.384,gage
2/23/2006,10250.6816,gage
2/24/2006,9910.88,gage
2/25/2006,9967.5136,gage
2/26/2006,10165.7312,gage
2/27/2006,10335.632,gage
2/28/2006,10533.8496,gage
3/1/2006,10618.8,gage
3/2/2006,10562.1664,gage
3/3/2006,10335.632,gage
3/4/2006,10109.0976,gage
3/5/2006,9882.5632,gage
3/6/2006,9599.3952,gage
3/7/2006,9287.9104,gage
3/8/2006,8891.4752,gage
3/9/2006,8608.3072,gage
3/10/2006,8296.8224,gage
3/11/2006,8155.2384,gage
3/12/2006,7843.7536,gage
3/13/2006,7702.1696,gage
3/14/2006,7645.536,gage
3/15/2006,7702.1696,gage
3/16/2006,7843.7536,gage
3/17/2006,8353.456,gage
3/18/2006,9061.376,gage
3/19/2006,10222.3648,gage
3/20/2006,11666.5216,gage
3/21/2006,14158.4,gage
3/22/2006,16310.4768,gage
3/23/2006,17669.6832,gage
3/24/2006,18689.088,gage
3/25/2006,19736.8096,gage
3/26/2006,20586.3136,gage
3/27/2006,20784.5312,gage
3/28/2006,20812.848,gage
3/29/2006,20501.3632,gage
3/30/2006,19963.344,gage
3/31/2006,18689.088,gage
4/1/2006,17499.7824,gage
4/2/2006,16480.3776,gage
4/3/2006,15404.3392,gage
4/4/2006,14299.984,gage
4/5/2006,13308.896,gage
4/6/2006,12261.1744,gage
4/7/2006,11468.304,gage
4/8/2006,10788.7008,gage
4/9/2006,10278.9984,gage
4/10/2006,9967.5136,gage
4/11/2006,9740.9792,gage
4/12/2006,9656.0288,gage
4/13/2006,9740.9792,gage
4/14/2006,9854.2464,gage
4/15/2006,9910.88,gage
4/16/2006,10335.632,gage
4/17/2006,10986.9184,gage
4/18/2006,11666.5216,gage
4/19/2006,12006.3232,gage
4/20/2006,12232.8576,gage
4/21/2006,12346.1248,gage
4/22/2006,12402.7584,gage
4/23/2006,12289.4912,gage
4/24/2006,12176.224,gage
4/25/2006,12147.9072,gage
4/26/2006,12289.4912,gage
4/27/2006,12572.6592,gage
4/28/2006,12714.2432,gage
4/29/2006,12855.8272,gage
4/30/2006,13280.5792,gage
5/1/2006,13705.3312,gage
5/2/2006,14299.984,gage
5/3/2006,14611.4688,gage
5/4/2006,14894.6368,gage
5/5/2006,14894.6368,gage
5/6/2006,14838.0032,gage
5/7/2006,14781.3696,gage
5/8/2006,14611.4688,gage
5/9/2006,15064.5376,gage
5/10/2006,15206.1216,gage
5/11/2006,15064.5376,gage
5/12/2006,14894.6368,gage
5/13/2006,14838.0032,gage
5/14/2006,14838.0032,gage
5/15/2006,14922.9536,gage
5/16/2006,14838.0032,gage
5/17/2006,14781.3696,gage
5/18/2006,14611.4688,gage
5/19/2006,14498.2016,gage
5/20/2006,14158.4,gage
5/21/2006,13818.5984,gage
5/22/2006,13393.8464,gage
5/23/2006,12742.56,gage
5/24/2006,12176.224,gage
5/25/2006,11468.304,gage
5/26/2006,11185.136,gage
5/27/2006,10930.2848,gage
5/28/2006,10703.7504,gage
5/29/2006,10618.8,gage
5/30/2006,10477.216,gage
5/31/2006,10562.1664,gage
6/1/2006,10562.1664,gage
6/2/2006,10618.8,gage
6/3/2006,10703.7504,gage
6/4/2006,10590.4832,gage
6/5/2006,10335.632,gage
6/6/2006,10194.048,gage
6/7/2006,9882.5632,gage
6/8/2006,9514.4448,gage
6/9/2006,9287.9104,gage
6/10/2006,9174.6432,gage
6/11/2006,9118.0096,gage
6/12/2006,9061.376,gage
