date (mm/dd/yyyy),flow (m3/s),data source
1/1/2006,636.5380667,gage
1/2/2006,529.1702,gage
1/3/2006,501.4433333,gage
1/4/2006,472.2416333,gage
1/5/2006,562.5604267,gage
1/6/2006,582.97212,gage
1/7/2006,470.7078067,gage
1/8/2006,487.22594,gage
1/9/2006,517.0175733,gage
1/10/2006,402.3522313,gage
1/11/2006,395.6800853,gage
1/12/2006,350.3024133,gage
1/13/2006,419.7906607,gage
1/14/2006,527.2824133,gage
1/15/2006,656.6419687,gage
1/16/2006,770.4529333,gage
1/17/2006,877.1718733,interpolation
1/18/2006,983.8908133,interpolation
1/19/2006,1090.609753,gage
1/20/2006,1287.88346,gage
1/21/2006,1427.3437,gage
1/22/2006,1508.164567,gage
1/23/2006,1556.244133,gage
1/24/2006,1587.33362,gage
1/25/2006,1630.51674,gage
1/26/2006,1683.669733,gage
1/27/2006,1728.504667,gage
1/28/2006,1755.346633,gage
1/29/2006,1755.700593,gage
1/30/2006,1727.67876,gage
1/31/2006,1695.055447,gage
2/1/2006,1664.378913,gage
2/2/2006,1620.78284,gage
2/3/2006,1580.903347,gage
2/4/2006,1545.625333,gage
2/5/2006,1473.653467,gage
2/6/2006,1425.632893,gage
2/7/2006,1440.676193,gage
2/8/2006,1472.886553,gage
2/9/2006,1540.25694,gage
2/10/2006,1608.21726,gage
2/11/2006,1659.069513,gage
2/12/2006,1744.550853,gage
2/13/2006,1787.14404,gage
2/14/2006,1792.748407,gage
2/15/2006,1753.989787,gage
2/16/2006,1692.046787,gage
2/17/2006,1588.513487,gage
2/18/2006,1495.009053,gage
2/19/2006,1404.395293,gage
2/20/2006,1275.258887,gage
2/21/2006,1124.943873,gage
2/22/2006,1024.124267,gage
2/23/2006,1030.795876,gage
2/24/2006,1026.976466,gage
2/25/2006,1191.547347,gage
2/26/2006,1431.296253,gage
2/27/2006,1591.22718,gage
2/28/2006,1717.76788,gage
3/1/2006,1826.197627,gage
3/2/2006,1887.130045,gage
3/3/2006,1894.688887,gage
3/4/2006,1847.84818,gage
3/5/2006,1756.113547,gage
3/6/2006,1602.789873,gage
3/7/2006,1464.450507,gage
3/8/2006,1327.88094,gage
3/9/2006,1143.585767,gage
3/10/2006,1003.063647,gage
