date (mm/dd/yyyy),flow (m3/s),data source
1/1/2006,2463.5616,gage
1/2/2006,2463.5616,gage
1/3/2006,2265.344,gage
1/4/2006,2180.3936,gage
1/5/2006,2265.344,gage
1/6/2006,2208.7104,gage
1/7/2006,2265.344,gage
1/8/2006,2605.1456,gage
1/9/2006,2690.096,gage
1/10/2006,2746.7296,gage
1/11/2006,2859.9968,gage
1/12/2006,2775.0464,gage
1/13/2006,3086.5312,gage
1/14/2006,3058.2144,gage
1/15/2006,3171.4816,gage
1/16/2006,3369.6992,gage
1/17/2006,3567.9168,gage
1/18/2006,4020.9856,gage
1/19/2006,3879.4016,gage
1/20/2006,3907.7184,gage
1/21/2006,3822.768,gage
1/22/2006,3766.1344,gage
1/23/2006,3851.0848,gage
1/24/2006,4077.6192,gage
1/25/2006,4105.936,gage
1/26/2006,4502.3712,gage
1/27/2006,4842.1728,gage
1/28/2006,5181.9744,gage
1/29/2006,5606.7264,gage
1/30/2006,5974.8448,gage
1/31/2006,6116.4288,gage
2/1/2006,6965.9328,gage
2/2/2006,7503.952,gage
2/3/2006,8013.6544,gage
2/4/2006,8013.6544,gage
2/5/2006,7985.3376,gage
2/6/2006,7928.704,gage
2/7/2006,7843.7536,gage
2/8/2006,7135.8336,gage
2/9/2006,6654.448,gage
2/10/2006,6258.0128,gage
2/11/2006,6173.0624,gage
2/12/2006,6484.5472,gage
2/13/2006,6258.0128,gage
2/14/2006,6003.1616,gage
2/15/2006,5691.6768,gage
2/16/2006,5663.36,gage
2/17/2006,5550.0928,gage
2/18/2006,5351.8752,gage
2/19/2006,5181.9744,gage
2/20/2006,5040.3904,gage
2/21/2006,4870.4896,gage
2/22/2006,4559.0048,gage
2/23/2006,4474.0544,gage
2/24/2006,4360.7872,gage
2/25/2006,4275.8368,gage
2/26/2006,4757.2224,gage
2/27/2006,5153.6576,gage
2/28/2006,4728.9056,gage
3/1/2006,4502.3712,gage
3/2/2006,4445.7376,gage
3/3/2006,4332.4704,gage
3/4/2006,4332.4704,gage
3/5/2006,3907.7184,gage
3/6/2006,3879.4016,gage
3/7/2006,3766.1344,gage
3/8/2006,3822.768,gage
3/9/2006,3624.5504,gage
3/10/2006,3851.0848,gage
3/11/2006,3652.8672,gage
3/12/2006,3369.6992,gage
3/13/2006,3369.6992,gage
3/14/2006,3228.1152,gage
3/15/2006,3086.5312,gage
3/16/2006,3199.7984,gage
3/17/2006,3426.3328,gage
3/18/2006,3992.6688,gage
3/19/2006,4332.4704,gage
3/20/2006,4983.7568,gage
3/21/2006,6003.1616,gage
3/22/2006,6852.6656,gage
3/23/2006,7503.952,gage
3/24/2006,8211.872,gage
3/25/2006,8268.5056,gage
3/26/2006,8353.456,gage
3/27/2006,8438.4064,gage
3/28/2006,8721.5744,gage
3/29/2006,8749.8912,gage
3/30/2006,8778.208,gage
3/31/2006,8381.7728,gage
4/1/2006,7475.6352,gage
4/2/2006,7135.8336,gage
4/3/2006,6739.3984,gage
4/4/2006,6286.3296,gage
4/5/2006,5691.6768,gage
4/6/2006,5295.2416,gage
4/7/2006,4813.856,gage
4/8/2006,4559.0048,gage
4/9/2006,4360.7872,gage
4/10/2006,4105.936,gage
4/11/2006,4105.936,gage
4/12/2006,4134.2528,gage
4/13/2006,4275.8368,gage
4/14/2006,4162.5696,gage
4/15/2006,4275.8368,gage
4/16/2006,4389.104,gage
4/17/2006,4700.5888,gage
4/18/2006,4700.5888,gage
4/19/2006,5125.3408,gage
4/20/2006,5436.8256,gage
4/21/2006,5295.2416,gage
4/22/2006,5408.5088,gage
4/23/2006,5408.5088,gage
4/24/2006,5266.9248,gage
4/25/2006,5295.2416,gage
4/26/2006,5380.192,gage
4/27/2006,5266.9248,gage
4/28/2006,5380.192,gage
4/29/2006,5465.1424,gage
4/30/2006,6059.7952,gage
5/1/2006,6371.28,gage
5/2/2006,6088.112,gage
5/3/2006,6314.6464,gage
5/4/2006,6314.6464,gage
5/5/2006,6286.3296,gage
5/6/2006,6711.0816,gage
5/7/2006,6965.9328,gage
5/8/2006,7079.2,gage
5/9/2006,6597.8144,gage
5/10/2006,6314.6464,gage
5/11/2006,6427.9136,gage
5/12/2006,6258.0128,gage
5/13/2006,6201.3792,gage
5/14/2006,6088.112,gage
5/15/2006,6144.7456,gage
5/16/2006,6286.3296,gage
5/17/2006,6314.6464,gage
5/18/2006,6258.0128,gage
5/19/2006,6173.0624,gage
5/20/2006,6116.4288,gage
5/21/2006,5861.5776,gage
5/22/2006,5493.4592,gage
5/23/2006,5550.0928,gage
5/24/2006,5181.9744,gage
5/25/2006,5153.6576,gage
5/26/2006,4728.9056,gage
5/27/2006,4728.9056,gage
5/28/2006,4643.9552,gage
5/29/2006,4643.9552,gage
5/30/2006,4502.3712,gage
5/31/2006,4445.7376,gage
6/1/2006,4643.9552,gage
6/2/2006,4530.688,gage
6/3/2006,4474.0544,gage
6/4/2006,4417.4208,gage
6/5/2006,4502.3712,gage
6/6/2006,4304.1536,gage
6/7/2006,4162.5696,gage
6/8/2006,4275.8368,gage
6/9/2006,4020.9856,gage
6/10/2006,3851.0848,gage
6/11/2006,3992.6688,gage
6/12/2006,3964.352,gage
6/13/2006,3879.4016,gage
6/14/2006,3879.4016,gage
6/15/2006,3851.0848,gage
6/16/2006,3851.0848,gage
6/17/2006,3737.8176,gage
6/18/2006,3794.4512,gage
6/19/2006,3596.2336,gage
6/20/2006,3313.0656,gage
6/21/2006,3114.848,gage
6/22/2006,3114.848,gage
6/23/2006,2831.68,gage
6/24/2006,2944.9472,gage
6/25/2006,2944.9472,gage
6/26/2006,2831.68,gage
6/27/2006,2746.7296,gage
6/28/2006,2831.68,gage
6/29/2006,2576.8288,gage
6/30/2006,2548.512,gage
7/1/2006,2520.1952,gage
7/2/2006,2520.1952,gage
7/3/2006,2576.8288,gage
7/4/2006,2605.1456,gage
7/5/2006,2605.1456,gage
7/6/2006,2718.4128,gage
7/7/2006,2775.0464,gage
7/8/2006,2888.3136,gage
7/9/2006,2944.9472,gage
7/10/2006,3086.5312,gage
7/11/2006,3114.848,gage
7/12/2006,3058.2144,gage
7/13/2006,2944.9472,gage
7/14/2006,2746.7296,gage
7/15/2006,2548.512,gage
7/16/2006,2435.2448,gage
7/17/2006,2605.1456,gage
7/18/2006,2633.4624,gage
7/19/2006,2633.4624,gage
7/20/2006,2746.7296,gage
7/21/2006,2775.0464,gage
7/22/2006,2775.0464,gage
7/23/2006,2775.0464,gage
7/24/2006,3001.5808,gage
7/25/2006,2859.9968,gage
7/26/2006,2859.9968,gage
7/27/2006,3029.8976,gage
7/28/2006,2916.6304,gage
7/29/2006,2775.0464,gage
7/30/2006,2661.7792,gage
7/31/2006,2576.8288,gage
8/1/2006,2576.8288,gage
8/2/2006,2406.928,gage
8/3/2006,2406.928,gage
8/4/2006,2293.6608,gage
8/5/2006,2378.6112,gage
8/6/2006,2293.6608,gage
8/7/2006,2293.6608,gage
8/8/2006,2265.344,gage
8/9/2006,2237.0272,gage
8/10/2006,2237.0272,gage
8/11/2006,2265.344,gage
8/12/2006,2265.344,gage
8/13/2006,2237.0272,gage
8/14/2006,2152.0768,gage
8/15/2006,2123.76,gage
8/16/2006,1982.176,gage
8/17/2006,1925.5424,gage
8/18/2006,2010.4928,gage
8/19/2006,2067.1264,gage
8/20/2006,2038.8096,gage
8/21/2006,2010.4928,gage
8/22/2006,2123.76,gage
8/23/2006,1925.5424,gage
8/24/2006,2010.4928,gage
8/25/2006,2010.4928,gage
8/26/2006,2038.8096,gage
8/27/2006,2038.8096,gage
8/28/2006,1953.8592,gage
8/29/2006,2010.4928,gage
8/30/2006,1925.5424,gage
8/31/2006,1783.9584,gage
9/1/2006,1755.6416,gage
9/2/2006,1755.6416,gage
9/3/2006,1727.3248,gage
9/4/2006,1755.6416,gage
9/5/2006,1755.6416,gage
9/6/2006,1783.9584,gage
9/7/2006,1812.2752,gage
